RESEARCH_ORG_CLEAN,total_funding,total_publications,avg_field_citation_ratio,avg_relative_citation_ratio,num_grants,dominant_field,impact_efficiency,cost_per_impact
RESEARCH FOUNDATION FOR THE STATE UNIVERSITY OF NEW YORK D B A RFSUNY STONY BROOK UNIVERSITY,148879393.0,1158.0,15.243323442794587,0.9447806938431939,31,Physical Sciences,0.00011856421624956606,8434.247968165184
RESEARCH FOUNDATION FOR THE STATE UNIVERSITY OF NEW YORK D B A RFSUNY UNIVERSITY AT BUFFALO,9352001.0,225.0,8.29769382791122,0.9485649825320878,9,Physical Sciences,0.00019963440030427973,5009.15673088313
RICE UNIVERSITY,166350047.22588384,722.8526515151515,6.875873425762373,2.2613226119376004,178,Biomedical,2.9878220175951575e-05,33469.19575901919
ROYAL INSTITUTION FOR THE ADVANCEMENT OF LEARNING MCGILL UNIVERSITY,8055988.34500851,60.179721740995134,4.439053705212875,1.03965197740113,35,Other,3.3160551546547957e-05,30156.313853715164
RUTGERS BIOMEDICAL AND HEALTH SCIENCES,484557705.8,1908.0,6.395469829226818,1.966929738965142,367,Biomedical,2.5182875616472694e-05,39709.52385381585
RUTGERS THE STATE UNIV OF NJ,118755033.0,762.0,8.88465062959409,3.0854069430569426,147,Biomedical,5.700898402976062e-05,17541.09491721456
RUTGERS THE STATE UNIV OF NJ NEWARK,24751555.0,115.0,2.4935785785785787,1.2198174019607844,25,Biomedical,1.1585596805394107e-05,86314.0688215917
RUTGERS THE STATE UNIVERSITY OF NEW JERSEY,93335036.17867647,906.9071078431373,6.159666720141779,1.5172128071487339,216,Other,5.985153870565114e-05,16708.00820874436
RUTGERS UNIVERSITY CAMDEN,9660731.0,74.0,3.053989898989899,1.2951851851851852,27,Social Sciences,2.3393183448048864e-05,42747.49532148033
RUTGERS UNIVERSITY NEW BRUNSWICK,242675296.8,2704.0,7.117790809567426,2.19615087832226,405,Physical Sciences,7.930970561429769e-05,12608.797274614059
RUTGERS UNIVERSITY NEWARK,27705149.833333332,262.0,3.585540350281527,1.0546482142857143,72,Physical Sciences,3.3907471261660926e-05,29492.02529091861
SCHEPENS EYE RESEARCH INSTITUTE,43115816.0,173.0,5.851758910533911,1.7247681841331575,50,Biomedical,2.347988245247096e-05,42589.65103527436
STANFORD UNIVERSITY,2302017297.954614,14050.224043491942,9.513005347322492,2.994140828588876,2440,Biomedical,5.806205564813835e-05,17222.952043932037
STANFORD UNIVERSITY SCHOOL OF MEDICINE,20981656.008333333,160.70833333333334,4.795823717948718,1.5589077853363567,116,Other,3.6733460712819635e-05,27223.136088863233
